0,1,2,3,4,5,6,7
MRPL1,SDHB,TARSL2,DDAH2,FAM96B,FAM32A,TXNDC17,SPG20
IL16,EMILIN2,TAF12,JAZF1,LUC7L3,PLAGL2,CDC37,DOK2
DIMT1,MPST,VDAC3,MFF,SNRNP35,GCA,DERL1,PRKCD
SCAPER,CYP27A1,MT-ATP6,7SK-2,ARL2BP,ADAP2,ALDH2,RABIF
GGNBP2,IDH3G,SLA,TAF1D,TMEM141,TMEM141,YWHAB,ATP6V1D
NUDT16L1,SMS,ELL,MRVI1-AS1,HNRNPM,TMBIM4-1,RNF7,BTK
ZCCHC11,GALK1,MT-ND5,ZCCHC11,TMBIM6,DDAH2,CTNNBIP1,MT-ATP6
ITGB7,TPD52L2,CWC27,TREML2,MESDC2,MYO9B,TBCB,FTL
MTERFD2,CSNK2B,BZRAP1-AS1,TMEM80,ARL6IP5,RER1,TALDO1,GRSF1
CHD2,CTNNBIP1,ITSN2,RP11-219B4.7,ARHGDIA,IDH3G,SSBP1,TERF2IP
TERF2IP,TMEM208,CDKN2A,MT-CO1,MOB2,LMAN2,MS4A6A,TAL1
UBE2D3,PRKACA,MRPL43,IDH1,DIAPH1,TNFRSF1A,ALKBH7,SEC14L5
NPHP3,IFIT2,CCL4L1,ATG4C,LBR,PRKCD,TIMM17A,CTD-2541M15.1
SAMD12,NDUFA2,ACD,RP5-821D11.7,KCTD10,RASGRP2,LAMTOR5,HRASLS
TBCK,ARAP1,METTL3,HOOK2,RPN2,ARPC4,ABRACL,MAP1A
C16orf80,GMPR,ARPC4,LINC00494,NFU1,RASGRP4,SCP2,MEG3
RP11-527L4.5,TMEM14C,FUS,SMCHD1,RBM3,RNF213,EAF2,SERPINE1
CGRRF1,CD163,MESDC2,DNAJC10,WDR55,CD37,IRF8,GLS2
TOP1MT,AP003733.1,ALKBH4,TTC14,IDH2,RAB2A,IGJ,MEIS1
RP11-314N13.3,ETHE1,NUP54,PRICKLE1,MNAT1,LAIR1,SMIM12,RP11-647K16.1
DEF6,KCNK6,ISY1,ZBED5-AS1,B4GALT4,RAB7A,PPP1R14A,CALD1
KIF3A,PARVB,GBP1,CCDC91,WHAMM,ZNF106,HAVCR2,PLBD1
ZAP70,HBEGF,RP4-612B15.3,UTP6,TINF2,MTIF3,GRB2,LNP1
ATP5H,CORO1C,PTPN7,MIS18BP1,RORA,APOBEC3B,EIF5,RP4-781K5.2
YTHDF2,QSOX1,SPRY1,SMAP2,SPTSSB,CTNNBL1,STOML2,LINC00984
XRRA1,RARA,DIMT1,MZT1,CRELD2,CSRP1,RPL7L1,LY6G5B
C4orf3,MFSD1,LPIN1,NR2C1,HDAC1,ATP5D,GSTZ1,SDCBP2
ZNF32,TMEM91,SLC25A12,METTL8,JAGN1,SNX17,SAMM50,BEND2
USP5,COLGALT1,KIFC3,ZNF397,WDR45,PLD4,MRPS12,RAB6B
PGM2L1,ALDH1A1,INVS,CKS1B,RBCK1,MARCH2,PRDX1,TTC30A
NARS,ALKBH7,NR2C2AP,EML6,AHSA1,DNAJA1,HMGXB4,VIL1
GOLT1B,RASGRP4,PEX16,BNIP2,SF3B5,OAS3,ACADVL,AC004069.2
SCAI,IFIT1,TMEM242,MPP6,DNAJA1,TNFAIP2,GCA,hsa-mir-1199
SH2D1A,GBGT1,ISOC1,AC113189.5,TNFRSF1A,GUSB,SRP72,PLA2G4C
TAF1D,NUMB,EBNA1BP2,ANKAR,RHEBL1,RALY,ODC1,PBLD
LRBA,PHACTR1,ARF6,EFCAB4A,SNX17,CMTM7,FAM173A,TNS1
LTV1,PLCB2,TNFRSF25,TBXA2R,EAPP,JKAMP,BUB3,HOMER2
SIVA1,PRDX3,RAB6B,RP11-421L21.3,ADD1,MIS18BP1,CBX5,UBE2C
FXN,NKIRAS2,RRAGC,MAF1,IFT20,RBCK1,CRTAP,THBS1
RBM48,TNNI2,ZBP1,TSPAN33,KLF13,GRB2,KARS,C1orf198
TKTL1,MARC1,R3HDM2,SAMD9L,PDHB,TLE4,RAD23A,ASAP2
ZNF626,DENND5A,MOB2,CTC-378H22.1,TIMM22,PFDN2,FERMT3,EML6
RP11-138A9.2,SNCA,AHSA1,IRF9,CIAPIN1,GYG1,PDHB,CLIP2
UBE2K,DOK3,PEX19,TAPBP,RPS19BP1,SKAP2,FAM96B,RP11-142C4.6
CD82,RGS18,DUS3L,ZNF45,GBP4,NDUFA2,RTFDC1,INPP5A
RPUSD2,SMAP2,ADAM10,RP5-1028K7.2,ARMC7,MRPL21,ARF4,MCF2L
TTPAL,CTD-2006K23.1,C17orf59,ZNF493,UBE2L6,DOK3,SMS,ZNF841
DNMT3A,ATP5H,TMED5,RP11-219B17.1,ICAM2,TMEM9B,ELP6,ARG2
PLXNA1,CHN2,TNFRSF9,MYO1E,HDAC2,RNF7,POLD2,KIFC3
ISCA2,BTK,GOSR2,ERV3-1,BTN3A1,PHPT1,IFI30,RAB38
MPHOSPH10,JTB,OSTC,SDCCAG8,RPUSD3,FAM127A,MMADHC,CDC42BPB
THOC7,RER1,FOPNL,KPNA1,CLSTN3,EMILIN2,RFC5,CTNNAL1
TDG,IFI44,STUB1,PLD6,TMEM165,PITPNM1,PPA2,ZNF615
NEMF,YWHAE,RPL39L,LINC00662,SLC25A11,FCGR3B,CDC123,TRIM16L
YIPF5,MT-ATP6,MGMT,PLRG1,MRPL51,SLC39A1,MRPL21,TBXA2R
PRAF2,EIF2AK4,RP11-70P17.1,RP11-430B1.2,IFI35,ATP5H,LYRM4,C9orf3
LAMP3,VPS28,CIDEB,AEBP1,LPGAT1,PRKACA,RPN2,FAM212A
SARDH,PRDX1,DNAJB14,BCDIN3D,SLC35A1,PSMC4,C15orf57,TSPAN15
PAICS,DNTTIP1,TMEM222,RP11-159H10.3,YTHDF2,EAF2,GUSB,SUMO3
TARSL2,FAM127A,ABCC10,ZNF75A,RNF187,GSTP1,C14orf1,REXO2
CTD-2015H6.3,CD37,SLC39A14,C5orf15,STUB1,SIK1,NDUFB8-1,GOLGA1
MINA,MID1IP1,TMEM9B,ECHDC1,ACADVL,C1QB,MPST,COTL1
ZNF528,GPR35,IDI1,BLM,YES1,RETN,DNAJC7,IDH2
ARMCX5,NCOR2,XRRA1,RP11-554J4.1,PPP1R8,OTUB1,ARPC4,PRUNE
HERPUD2,RBM3,SLC25A11,RP11-932O9.7,AC010642.1,CCDC124,THUMPD3,RASGRP2
PRNP,FRAT1,CYB561,RGL2,ZBP1,HAGH,NOC4L,F11R
URGCP,ZNF106,POLR2I,SHOC2,RAB2A,PCMT1,LTV1,F2R
OCIAD1,GNS,HMBOX1,PMEPA1,CCDC115,PRKCB,JTB,ARHGAP18
ACTR6,RELT,RPS4X,ANKRD50,GADD45B,HDLBP,LITAF,TBCK
PITHD1,FCAR,RP11-66N24.3,TASP1,LYRM2,ID2,FH,CAPZB
C2CD4D,GAS2L1,OAT,PRKD2,MRE11A,GFI1B,RPL8,TMEM104
ADAL,LAMTOR5,C15orf61,ZRANB3,RAB8B,ORMDL2,APOBEC3G,PLAGL2
NDUFAF4,MLTK,STOML2,CXXC1,CCDC69,LIMD2,SNW1,BNIP2
CAMK2G,ZNF593,RRS1,ZNF404,PRKACB,PHKG2,BABAM1,GGA3
SPSB2,SKAP2,PI4KB,AP003419.16,PPP2CA,MAP3K8,AIF1,ACP1
C12orf45,SIGLEC14,CISH,ANKRD54,ABT1,PRDX4,KIF5B,USP20
LARS,OAS3,MT-CO2,ZNF594,CSNK1A1,PAFAH1B1,NCOA4,MADD
RP11-706O15.1,CTD-2267D19.2,GOLGA1,C1orf186,C14orf1,EIF5,ARGLU1,ACOT13
CTD-2227I18.1,CEACAM4,ATAD1,DNAJC27,TAF12,FERMT3,MCUR1,KCNK6
FN3KRP,NAT9,SRP9,MARCH6,COMMD4,ANAPC13,MPV17,NSMAF
CACNA1C-AS1,LAT2,NXT2,PAICS,TM7SF3,ABHD5,ABI3,PDK2
LIMD2,NCKAP1L,NUDT16L1,KCNQ1OT1,PSMA7,ARL4A,NPC2,OTUB1
INSL3,C1orf86,TGFBRAP1,TOP1MT,JTB,C4orf3,CKS1B,RIT1
SPATA7,CDV3,RP5-1028K7.2,DDX1,MFSD10,IL17RA,BIRC5,TCTA
GBP1,CD9,PRPF31,RNF26,SHARPIN,CORO1C,FKBP5,MTIF3
RDH14,MANBA,MVD,CHD7,C19orf52,GSTZ1,HDAC1,CD82
FNTA,STK32C,CARHSP1,SPRY1,RER1,ZMAT5,CHMP4A,NFIC
TMEM87A,TGOLN2,CPSF3L,MYOM2,CXCR1,NDUFC2,PSMC4,FAM120A
NSMAF,CCL2,ATXN1L,MED9,OSTC,IFIT2,STX18,POLR2E
CBX5,BACH1,C9orf37,HIST1H2AC,OTUB1,LYPLA1,GMPR2,PRKCB
VPS26B,TAF6L,SCP2,MED30,PITHD1,EIF2AK4,SMC2,HDGF
C16orf58,IFT20,ADSL,RP11-145M9.4,PALLD,PIGX,IL1B,ARRDC3
ZNF567,TRPM4,NFAT5,POLD2,SENCR,FOSL2,ATP5SL,GMPPA
SIN3A,SPHK1,OCIAD1,RP11-162G10.5,MPST,H3F3B,STK32C,BZRAP1-AS1
RFC5,KLF11,LINC00662,RABL2A,TMEM9B,MYADM,CIAPIN1,PHACTR4
ORC2,HDLBP,SMIM12,ZNF747,RP11-792A8.4,DESI1,CPSF3L,IL17RA
EIF5B,CAPZA2,NDUFB10,TMEM87B,DYNLL1,KLF11,PLEKHJ1,TMEM116
ERCC6L2,MVB12A,FAM107B,SPIN1,NPRL2,CTC-378H22.1,TRAPPC3,VPS13C
DOCK10,ABI3,ATXN10,CCDC12,PCYT1A,GIMAP2,IGSF6,KPNA1
ZFYVE28,GUSB,ATG16L1,IGFBP4,MLLT6,CCDC115,S100A6,BET1
ANKS1B,SLC22A18AS,PURA,NOL11,ATP6V0E1,POLR2E,THOC7,SCP2
LYRM4,ANKRD22,EFCAB14,PPIG,MARCH5,LRRC59,GGA2,N4BP2L1
IDUA,KCNE1,PGM1,FAM43A,RTFDC1,CDC42EP3,GARS,ST7L
DNAJB14,SIK1,ATP6V0E2,HEMK1,RABEP2,CSRNP1,CAPZB,SIAH2
ING5,PLAGL2,BBS2,RFC2,SARS,NUDT1,TAPBP,C3orf38
NUP54,TMEM55A,C9orf69,CRTC1,NUDT5,VPS28,UBE2D2,CORO1B
TCEAL4,LRRK2,TLE4,HELQ,VAMP8,DNAJC7,CD72,ARL6IP5
HDAC1,FADS1,CD47,EIF3D,FBXW4,MRPL51,ITPA,RFC2
SNAP47,DESI1,WTAP,HCFC2,IRF9,PRDX3,P2RX5,SNX9
ARL2BP,CCDC69,C1orf50,DISP1,TTC14,SUMO3,SAMD9L,CDC16
USP36,TNRC18,RIOK2,RP11-110I1.14,EIF5,KCNQ1OT1,PAFAH1B1,FN3KRP
ST3GAL2,DICER1,ARGLU1,SIRT1,NKTR,GINM1,EWSR1,HAVCR2
SURF1,PFDN2,ARID4A,SNHG8,COMMD8,EIF1B,SNX17,ARAP1
RP11-70P17.1,IRF8,EXOC4,RCE1,PRR5,GMPR2,HDDC3,AKTIP
TMEM177,DRAM2,RDH14,CCDC174,CCND2,UBE2D4,LGALS3,DOCK10
PLCL1,PRRG4,PHACTR4,SCAPER,MGMT,CHN2,PTGES2,TMEM199
PPA2,GLB1,DEF6,PDIK1L,DTX3,CA2,C1orf35,SLC50A1
SERPINE2,TRIM8,THUMPD3,MT-CO2,ABHD17B,PLCB2,RMND5A,TMEM55A
RFPL2,DNAJC7,PHF14,ZNF232,C1GALT1C1,TIMMDC1,NAPRT1,FOPNL
ARRDC3,RAB1B,PCNX,RP11-420A6.2,TIMMDC1,DRAM2,NKAP,DDB2
COPS4,MRPL21,DIAPH1,CDC42BPB,GIMAP5,RGS18,LILRA4,NBR1
EFCAB14,MDP1,ANKRD54,C10orf25,PCNA,TRIM8,ITGB7,DYNLL2
RGS14,PSMB8,ACOT13,C8orf44,TMEM18,SMARCA4,TIMMDC1,ZNF688
OSTC,PICALM,KIR3DL2,AL928742.12,TIMM10B,NABP1,PTCRA,CORO7
TRIP11,TMEM189,HMGXB4,ZNF433,DGKZ,GID8,RPS5,CRLS1
RP11-247A12.2,PQBP1,KLC4,RP11-77H9.2,NDUFA12,YIPF3,ARPC5L,HDAC5
C15orf61,CTNND1,PRR5L,HCCS,PDZD4,CTD-2267D19.2,ACD,RAB1B
PTPN7,C12orf10,PDHB,ZNF256,FN3KRP,HIST1H2AC,CLEC4C,PPIF
RBM7,TIMM17A,CASC4,RP11-356N1.2,AL590452.1,HDAC5,SAT2,FYB
MCM3,FOSL2,NOL11,PACS1,BBC3,CWC15,TNFAIP2,CORO1C
BOLA1,GLTP,TRAF3IP3,ABHD17B,SNRPB,MID1IP1,HDGF,WDR45
ZNF276,DAGLB,ANKHD1,LRRK2,FAM43A,GLB1,HDAC2,MRPL51
CCDC91,AGO4,CRELD2,HDAC5,COLGALT2,SNAPIN,TRUB2,FCGR2A
OAT,HDGF,PLRG1,EIF5,COL6A2,TMEM219,MID1IP1,ICAM2
STX16,MT-CO2,WHAMM,SENP2,ZMAT3,DTYMK,CXXC1,SMS
TFAM,MT-ND5,ABHD12,CTC-260E6.6,FOSL2,VAPA,EIF2B1,SAMSN1
TRUB2,TNFSF12,SAMSN1,RBM48,DDAH2,ATXN10,PACSIN2,ERV3-1
TRIM69,RP11-139H15.1,RIOK1,TTC28,POLR2E,MTCH2,RPUSD3,DCAF8
CD48,S100P,NOL7,ARRDC3,VPS25,ABCC3,PPP2R3C,GUSB
C14orf166,ABHD5,USP30,CASC4,CCT7,SARS,DNTTIP1,TBPL1
PRRG2,DHRS4,TMEM87A,ARHGEF7,CCDC124,UBE2D1,CCDC94,PSMC6
DUS3L,RP11-102N12.3,ZFYVE28,AATF,BEX4,LAMP2,CWC15,TMEM9B
